#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:32:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc6633}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ngc6633
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ngc2451
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc6633:
#Name: J/A+A/612/A99/ngc6633
#Title: Parameters for NGC6633
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
 ; ; ;K;K;[cm/s2];[cm/s2];[-];[-]; ;[0.1pm];[0.1pm]; ; ; ;km/s;km/s; ; ; ;deg;deg
----------------;-------;-------;-----;----;--------;--------;--------;--------;-;--------;--------;----;--------;--------;--------;--------;------;------;----;---------;---------
18262339+0625055;NGC6633;   UVES; 9750;  50;   3.000;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;   1;276.59746;+06.41819
18263191+0631011;NGC6633;   UVES; 8500;  50;   3.300;   0.200;   0.000;   0.100; ;        ;        ;    ;        ;        ; -29.957;   0.400; 0.818;      ;   2;276.63296;+06.51697
18263213+0626485;NGC6633;   UVES; 6077; 129;   4.218;   0.292;   0.071;   0.106; ;        ;        ;    ;        ;        ;  11.656;   0.400; 0.006;      ;   3;276.63387;+06.44681
18263242+0626496;NGC6633;   UVES; 6089; 171;   4.321;   0.332;   0.004;   0.118; ;        ;        ;    ;        ;        ;  -1.450;   0.400; 0.009;      ;   4;276.63508;+06.44711
18263318+0621466;NGC6633;   UVES; 6095; 116;   4.235;   0.241;  -0.208;   0.100; ;  38.500;   0.800;   0;        ;        ; -15.136;   0.400; 0.026;      ;   5;276.63825;+06.36294
18263324+0632254;NGC6633;   UVES; 9400;  50;   3.800;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ;        ;        ;      ;      ;   6;276.63850;+06.54039
18263376+0631350;NGC6633;   UVES; 4983; 118;   2.628;   0.221;  -0.092;   0.096; ;   3.800;   0.300;   0;        ;        ;  16.937;   0.400; 0.007;      ;   7;276.64067;+06.52639
18263380+0630264;NGC6633;   UVES; 8228;2000;   4.558;   1.000;  -0.468;        ; ;        ;        ;    ;        ;        ; -27.444;   0.400; 0.794;      ;   8;276.64083;+06.50733
18263404+0637467;NGC6633;   UVES; 5721; 115;   4.367;   0.224;  -0.088;   0.093; ;  63.800;   2.100;   0;        ;        ; -28.895;   0.400; 0.888;      ;   9;276.64183;+06.62964
18263794+0632286;NGC6633;   UVES; 8400;  50;   3.200;   0.200;  -0.400;   0.100; ;        ;        ;    ;        ;        ; -30.436;   0.400; 0.748;      ;  10;276.65808;+06.54128
18263798+0623454;NGC6633;   UVES; 5500;    ;   4.395;        ;  -0.538;        ; ;        ;        ;    ;        ;        ;  24.492;   0.400; 0.004;      ;  11;276.65825;+06.39594
18263966+0629501;NGC6633;   UVES; 5576; 112;   4.364;   0.231;  -0.079;   0.092; ;  44.000;   1.100;   0;   0.992;        ; -27.857;   0.400; 0.848;      ;  12;276.66525;+06.49725
18264024+0618536;NGC6633;   UVES; 5515; 117;   3.681;   0.220;  -0.291;   0.094;<;   3.500;        ;   3;   0.998;        ;   6.758;   0.400; 0.006;      ;  13;276.66767;+06.31489
18264026+0637500;NGC6633;   UVES; 6455;2000;   5.000;   1.000;  -0.130;        ; ;  58.900;        ;    ;   0.999;        ; -32.075;   0.400; 0.250;      ;  14;276.66775;+06.63056
18264060+0643352;NGC6633;   UVES; 6600;  50;   4.900;   0.200;   0.000;   0.100; ;  61.000;        ;    ;   1.003;        ; -29.424;   0.400; 0.874;      ;  15;276.66917;+06.72644
18264117+0614522;NGC6633;   UVES; 6019; 115;   4.024;   0.240;  -0.605;   0.095; ;  36.800;   0.900;   0;        ;        ;  19.284;   0.400; 0.005;      ;  16;276.67154;+06.24783
18264301+0632354;NGC6633;   UVES; 5674; 116;   4.340;   0.228;  -0.348;   0.102; ;  31.600;   1.000;   0;   0.997;        ; -55.771;   0.400; 0.038;      ;  17;276.67921;+06.54317
18264491+0624181;NGC6633;   UVES; 7450;  50;   1.500;   0.200;  -0.200;   0.100; ;        ;        ;    ;        ;        ; -23.689;   0.400; 0.192;      ;  18;276.68712;+06.40503
18264580+0645386;NGC6633;   UVES; 6564; 120;   3.873;   0.231;  -0.221;   0.102;<;   6.100;        ;   3;        ;        ;  14.692;   0.400; 0.005;      ;  19;276.69083;+06.76072
18264594+0636077;NGC6633;   UVES; 5988; 131;   3.970;   0.267;   0.329;   0.102; ;  22.400;        ;    ;   0.997;        ; -17.562;   0.400; 0.036;      ;  20;276.69142;+06.60214
