#THE EVOLUTION OF THE LITHIUM ABUNDANCES OF SOLAR-TYPE STARS. III. THE PLEIADES (1993),,,,,,,,,,,
# SODERBLOM ETAL.: LITHIUM IN THE PLEIADES,,,,,,,,,,,
#Table 2. Lithium abundances for the 6708 ç feature.,,,,,,,,,,,
log LiEW,4000,4250,4500,4750,5000,5250,5500,5750,6000,6250,6500
3,3.571,3.821,4.221,4.653,999,999,999,999,999,999,999
2.95,3.451,3.7,4.099,4.527,4.969,999,999,999,999,999,999
2.9,3.327,3.577,3.973,4.4,4.815,999,999,999,999,999,999
2.85,3.202,3.447,3.836,4.261,4.662,999,999,999,999,999,999
2.8,3.068,3.307,3.691,4.115,4.508,4.904,999,999,999,999,999
2.75,2.925,3.159,3.538,3.959,4.348,4.712,999,999,999,999,999
2.7,2.773,3.003,3.37,3.788,4.173,4.519,4.874,999,999,999,999
2.65,2.603,2.825,3.183,3.591,3.973,4.317,4.642,4.978,999,999,999
2.6,2.419,2.628,2.973,3.376,3.746,4.088,4.409,4.708,5,999,999
2.55,2.212,2.413,2.741,3.128,3.492,3.832,4.146,4.438,4.714,4.971,999
2.5,1.98,2.176,2.495,2.872,3.226,3.557,3.872,4.161,4.429,4.686,4.9
2.45,1.74,1.936,2.256,2.624,2.967,3.295,3.6,3.889,4.154,4.4,4.637
2.4,1.517,1.722,2.045,2.404,2.745,3.065,3.367,3.647,3.907,4.149,4.377
2.35,1.324,1.54,1.87,2.225,2.559,2.873,3.167,3.44,3.694,3.929,4.152
2.3,1.163,1.386,1.725,2.079,2.4,2.715,3,3.271,3.517,3.747,3.962
2.25,1.029,1.265,1.596,1.953,2.28,2.58,2.868,3.13,3.368,3.593,3.803
2.2,0.92,1.156,1.496,1.845,2.167,2.472,2.751,3.005,3.246,3.469,3.676
2.15,0.816,1.061,1.397,1.75,2.071,2.37,2.649,2.906,3.14,3.357,3.561
2.1,0.729,0.972,1.315,1.663,1.98,2.282,2.557,2.808,3.043,3.26,3.463
2.05,0.645,0.895,1.233,1.58,1.902,2.196,2.474,2.726,2.956,3.17,3.371
2,0.567,0.817,1.158,1.507,1.823,2.123,2.393,2.645,2.876,3.09,3.289
1.95,0.496,0.748,1.089,1.435,1.753,2.05,2.323,2.57,2.797,3.011,3.208
1.9,0.426,0.681,1.019,1.367,1.685,1.979,2.252,2.501,2.729,2.941,3.138
1.85,0.36,0.613,0.956,1.303,1.618,1.915,2.184,2.432,2.66,2.873,3.069
1.8,0.297,0.552,0.894,1.239,1.556,1.851,2.122,2.367,2.593,2.804,3
1.75,0.235,0.492,0.832,1.178,1.496,1.789,2.06,2.307,2.533,2.743,2.939
1.7,0.177,0.432,0.775,1.122,1.436,1.731,1.998,2.246,2.473,2.683,2.878
1.65,0.123,0.376,0.723,1.065,1.379,1.674,1.947,2.188,2.413,2.623,2.817
1.6,0.07,0.324,0.672,1.008,1.328,1.617,1.896,2.137,2.361,2.569,2.764
1.55,0.017,0.272,0.62,0.956,1.277,1.564,1.846,2.087,2.311,2.519,2.714
1.5,-0.036,0.22,0.566,0.904,1.226,1.513,1.794,2.036,2.26,2.47,2.665
1.45,-0.089,0.166,0.51,0.853,1.173,1.462,1.739,1.985,2.21,2.42,2.615
1.4,-0.143,0.111,0.455,0.801,1.118,1.411,1.683,1.93,2.156,2.367,2.561
